title,romurbital,unidentified
gallia,abella ,abolani
galli,abellinum,accienses
house of the ceii,acerrae,ad columen
casa dei ceii,aceruntia ,aesolani
house of l. ceius secundus,aecae,albenses
house of fabia and tyrannus,aeclanum,alfaterni
i.6.15,aefula,algidum
casa del larario di achille,aequana,ameriola
house of the lararium of achilles,aequum tuticum,amitinum
house of the ilion sanctuary,aesernia,apiolae
i.6.4,aesis,artena
yibna bridge,afilae,ausona
hypogaeum scipionum,agropoli,avenia
sepolcro degli scipioni,alba fucens,bolani
tomb of the scipios,alba pompeia,bubetani
tel mor,albano di lucania,cameria
statues of harmodios and aristogeiton,albium intimilium ,capitulum hernicum 
harm�dios ka� aristoge�t?n,album ingaunum ,carventum
tubantes,aletium ,castra aniba
toubantoi,aletrium,celema
mannaricium,allifae,cimetra
reudigni,alsium,cingulani
ulmerugii,altamura,corbio
rugii,ameria,corioli
traiectum,amiternum,cusuetani
utrecht,amyclae,dikaiarcheia
suebi,anagnia,ecetra
visurgis,ancona ,fabienses 
sigoulones,angitiae lucus ,forentani
praetorium agrippinae,angulum,foreti
valkenburg,antemnae,fortinum
salii,antinum ,freginates
suaridones,antium,frentinum castrum
suarines,anxa ,frentum
varini,anxanum ,hortenses
teutoburgiensis saltus,anxia,ilionenses
teutoburger wald,aquae statiellae ,imbrinium
nigrum pullum,aquilonia,kainys
zwammerdam,aquinum,laterium
lugdunum,arcipete ,latinienses
lougodinon,ardea,laurentum
saxones,aricia,lavernium
rijswijk,ariminum ,longula
sabalingioi,arna,luca
matilo,arpi ,macrales
melibokon oros,arpinum,manates
teutones,arretium,marcina
sarantaporo,artena,medullum 
dikilita?,artimino,minturnae
baqa,asculum,munienses
tsar�v kurgan,asisium,octulani
drusiana fossa,atella,olliculani
corbulonis fossa,aternum ,orbitanium
house of leda and the swan,atina,pirae
eanna,atina,pollusca
qasr al-?agha,attidium,querquetulani 
stary sad,aufidena,roboaria
tall karay q?sim,aufinum,sabata 
villa dei casoni,augusta bagiennorum ,sapr?s
alaca h�y�k,augusta taurinorum,satricum
necropolis of montessu,ausculum,scaptia
osrhoene,auximum,sicani
phoenice,aveia,sisolenses
syria coele,axia,skidros 
augusta euphratensis,azetium ,solonium
cappadocia,bagnoregio,sulmo
arabia,balesium ,taisia 
augusta libanensis,bantia,taurania
venetia et histria,baragiano,taurasia
lugdunensis ii,barano,tifata
creta,barduli,tifernum
dacia mediterranea,barium,tolerium
lugdunensis i,basta ,trifanum
byzacena,bellegra,tutienses
mauretania caesariensis,beneventum ,ulubrae
diospontus,bisignano,urbana  
phrygia i,blanda ,velienses
aegyptus iovia,blera,venetulani
germania ii,bononia ,verrugo
tuscia et umbria,bovianum ,vescia
sardinia,bovillae,veseris
narbonensis i,brixellum ,vitellia
epirus vetus,brundisium ,acuca
achaia,buon riposo,aletrini 
novem populi,butuntum ,alfellani 
numidia militiana,buxentum ,animula
palaestina,caelia1,anxanum
scythia,caelia2,apamestini 
sequania,caere ,apina
apulia et calabria,caesena ,argentanum
britannia ii,cafaggio,argentini 
libya superior,caiatia,atrani 
praevalitana,calatia,bADIZA
mauretania sitifensis,cales,borcani 
mauretania sitifensis,callifae,cliternia
aemilia et liguria,camerinum ,collatia
lucania et bruttii,campo del pozzo,corINENSES 
thessalia,camporosso,deciani 
aquitania ii,cannae,fratuertium 
valeria,canusium,grumum 
corsica,capena,hieros lophos
caria,capo colonna,interamna frentanorum 
aegyptus herculia,capua,irini 
tripolitana,carreum potentia ,kalene
numidia cirtensis,carseoli ,katarakta
phrygia ii,carsulae,keraunilia
phrygia secunda,casalecchio di reno,mateolani
savia,casalini sottana,mesochorum
africa proconsularis,casilinum,metinates 
belgica i,casinum,natini 
epirus nova,casone,natiolum
haemimontus,castel canonico,neapolis
thebais,castellace ,netion 
mauretania tingitana,castellina,palionenses 
britannia prima,castello,portus garnae
britannia i,castello monteforte,respa
europa,castellonchio,romulea
germania i,castellone,sarmadium 
viennensis,castiglione di paludi,scamnum
gallaecia,castrimoenium,senum
insulae,castrum inui,sicilinum
aquitania prima,castrum minervae ,strapellini 
aquitania i,castrum novum1,talion
dardania,castrum novum2,trica
libya inferior,castrum truentinum ,turnantini 
flaminia et picenum,caudium,turum 
noricum ripense,cencelle,ulurtini 
noricum mediterraneum,centum cellae,vescellium 
campania,cereatae marianae,abala
galatia,cesoli,abellinum marsicum
lydia,cima ramne,altanum
carthaginiensis,cingulum,aprustrum
rhodope,circeii ,arcanum
dacia ripensis,civita danzica,balarus
bithynia,civita del fosso d'arlena,batulum
belgica ii,civita delle bianche,bergae
�amm?n,civita di tricarico,besidiae
boville ernica,civitalba,carissanum
woodhenge,civitanova ,chone
durrington walls,civitella1,clampetia
ad palmam,civitella2 ,crimissa 
paqirahubuna,claterna ,ethai
